Generic Name,Shortage Status,Revision Date,Created Date,NDC Codes
Acetylcholine Chloride Powder for Intraocular Solution,Resolved Shortages,"May 17, 2016","Mar 24, 2016",24208-0539-20
Acetylcholine Chloride Powder for Intraocular Solution,Resolved Shortages,"May 22, 2023","Apr 28, 2023",24208-0539-20
Acetylcholine Chloride Powder for Intraocular Solution,Resolved Shortages,"Jul 26, 2024","Jul 07, 2023",24208-0539-20
Acetylcysteine Oral and Inhalation Solution,Current Shortages,"Aug 18, 2025","Jun 08, 2015",00409-3307-03;00409-3308-03;00517-7504-25;00517-7604-25;25021-0812-30;63323-0690-30;63323-0691-30;63323-0692-10;63323-0693-10;63323-0694-04;63323-0695-04;70069-0018-25;70069-0019-25;70069-0020-03
Activated Charcoal Oral Suspension,Resolved Shortages,"May 18, 2023","Oct 14, 2022",00574-0520-74;00574-0520-76;00574-0521-25;00574-0521-74;00574-0521-76
Acyclovir Injection,Resolved Shortages,"Jul 20, 2021","Sep 04, 2019",55150-0154-10;55150-0155-20;63323-0325-10;63323-0325-20
Acyclovir Injection,Resolved Shortages,"May 31, 2022","Dec 29, 2021",55150-0154-10;55150-0155-20;63323-0325-10;63323-0325-20
Acyclovir Injection,Resolved Shortages,"Nov 27, 2024","Feb 21, 2024",55150-0154-10;55150-0155-20;63323-0325-10;63323-0325-20
Adenosine Injection,Resolved Shortages,"May 26, 2016","Jun 25, 2015",00409-1932-01;00409-1932-02;00469-8234-12;00469-8234-14;00641-6113-10;00703-8776-01;00703-8777-01;17478-0542-02;17478-0542-25;17478-0544-20;17478-0544-30;25021-0301-02;25021-0301-04;25021-0301-67;25021-0301-68;25021-0307-20;25021-0307-30;63323-0651-02;63323-0651-04
Adenosine Injection,Current Shortages,"Aug 18, 2025","Apr 03, 2023",25021-0301-67;25021-0301-68;25021-0318-02;25021-0318-04;55150-0192-01;55150-0193-01;63323-0651-02;63323-0651-04;63323-0651-20;63323-0651-30;63323-0651-89;63323-0651-90;67457-0854-04;67457-0855-02;67457-0856-20;67457-0857-30
Albendazole Tablets,Resolved Shortages,"Sep 20, 2017","May 16, 2017",52054-0550-22
Albumin (Human) Injection,Resolved Shortages,"Sep 06, 2023","Sep 23, 2022",00944-0493-01;00944-0493-02;00944-0495-05;44206-0251-05;44206-0251-10;44206-0310-25;44206-0310-50;67467-0623-02;67467-0623-03;67467-0643-01;67467-0643-02;68516-5214-01;68516-5214-02;68516-5216-01;68516-5216-02;76125-0790-25;76125-0792-10;76125-0792-25
Albuterol Inhalation Solution,Resolved Shortages,"Jun 20, 2017","Feb 23, 2017",00487-9901-30
Albuterol Inhalation Solution,Resolved Shortages,"Oct 04, 2019","Sep 17, 2018",00487-9901-30;50383-0741-20
Albuterol Inhalation Solution,Resolved Shortages,"Feb 27, 2024","Mar 29, 2022",00378-8270-52;00378-8270-55;00378-8270-91;00378-8270-93;00487-9501-01;00487-9501-03;00487-9501-25;00487-9901-30;47335-0703-52;47335-0703-54;50383-0741-20;76204-0200-01;76204-0200-25;76204-0200-30;76204-0200-60
Albuterol sulfate and Ipratropium Bromide Inhalation Solution,Current Shortages,"Jun 12, 2025","Jan 09, 2023",00378-9671-30;00378-9671-60;00378-9671-93;00487-0201-01;00487-0201-03;00487-0201-60;47335-0756-49;47335-0756-52;69097-0173-53;69097-0173-64;69097-0840-53;69097-0840-64;69097-0840-87;76204-0600-01;76204-0600-30;76204-0600-60
Albuterol Sulfate Extended-Release Tablets,Discontinued Drugs,"Jun 30, 2021","Feb 14, 2019",00378-4122-01;00378-4124-01
Albuterol Sulfate Metered Dose Inhalers,Resolved Shortages,"May 17, 2016","Dec 03, 2015",00085-1132-01;00173-0682-20;00173-0682-21;00173-0682-24;59310-0579-22
Albuterol Sulfate Metered Dose Inhalers,Resolved Shortages,"Dec 15, 2021","Mar 23, 2020",00085-1132-04;00093-3174-31;00173-0682-20;00173-0682-24;00254-1007-52;45802-0088-01;59310-0579-22;66993-0019-68;68180-0963-01;69097-0142-60
ALCOHOL DEHYDRATED INJECTION (ETHANOL),Resolved Shortages,"May 26, 2016","Jun 10, 2015",00517-8571-10;00517-8575-10;17478-0503-05
