Generic Name,Shortage Status,Revision Date,Created Date,NDC Codes
Indocyanine Green,Resolved Shortages,"Feb 09, 2017","Feb 24, 2016",17238-0424-06;17478-0701-02
Indocyanine Green,Resolved Shortages,"Aug 07, 2019","May 19, 2017",17238-0424-06;17478-0701-02
Indocyanine Green,Current Shortages,"Mar 24, 2025","Jul 23, 2024",17238-0424-06
Indomethacin Capsules,Resolved Shortages,"Jul 23, 2019","Apr 25, 2016",31722-0542-01;31722-0543-01;68462-0302-01;68462-0302-05;68462-0406-01;68462-0406-10
Insulin Aspart Injection,Resolved Shortages,"Jan 05, 2022","Nov 19, 2021",00169-2100-11;00169-2101-25;00169-3201-11;00169-3204-15;00169-3205-15;00169-3303-12;00169-6338-10;00169-6339-10;00169-7501-11;73070-0100-11;73070-0102-15;73070-0103-15
Insulin Aspart Injection,Current Shortages,"Jul 25, 2025","Nov 10, 2023",00169-3201-11;00169-3204-15;00169-3205-15;00169-3303-12;00169-6339-10;00169-7501-11;73070-0100-11;73070-0102-15;73070-0103-15
Insulin Aspart Protamine and Insulin Aspart Mix,Resolved Shortages,"Sep 26, 2024","Jul 07, 2024",00169-3685-12;00169-3696-19;73070-0200-11;73070-0203-15
Insulin Degludec Injection,Resolved Shortages,"Aug 06, 2025","Mar 13, 2025",00169-2550-13;00169-2660-15;00169-2662-11;73070-0400-11;73070-0403-15;73070-0503-15
Insulin Detemir Injection,Resolved Shortages,"Jan 05, 2022","Nov 08, 2021",00169-3687-12;00169-6438-10
Insulin Detemir Injection,Resolved Shortages,"Aug 12, 2024","Jan 19, 2023",00169-3687-12;00169-6432-10;00169-6438-10
Insulin Detemir Injection,Discontinued Drugs,"Jan 13, 2025","Nov 13, 2023",00169-3687-12;00169-6432-10
Insulin Glargine Injection (Recombinant),Current Shortages,"Aug 06, 2025","Feb 19, 2025",00002-7715-59;00002-8214-05;00002-8980-05;00024-5869-03;00024-5871-02;00088-2219-05;00088-2220-33;00955-2900-02;00955-3900-03;83257-0011-11;83257-0012-33;83257-0014-11;83257-0015-32
"Insulin Isophane (NPH) and Insulin Regular, Human",Resolved Shortages,"Nov 18, 2024","May 20, 2024",00002-8715-01;00002-8803-59;00169-1837-11;00169-3007-15
Insulin Lispro Injection (Humalog),Resolved Shortages,"May 23, 2024","Mar 29, 2024",00002-7510-01;00002-7510-17;00002-7533-01;00002-7714-59;00002-7737-01;00002-7752-05;00002-8222-59;00002-8799-59
Insulin Regular Injection,Resolved Shortages,"May 20, 2024","Jan 30, 2024",00002-8215-01;00002-8215-17;00169-1833-11;00169-3003-15
Interferon alfa-2b Injection,Discontinued Drugs,"Jan 10, 2022","Mar 30, 2021",00085-1133-01;00085-1168-01;00085-4350-01;00085-4351-01;00085-4352-01
Intranasal Mucosal Atomization Device,Resolved Shortages,"Apr 07, 2017","Nov 03, 2016",
Iodixanol Injection,Resolved Shortages,"Jun 20, 2023","May 12, 2022",00407-2222-16;00407-2222-17;00407-2222-19;00407-2222-21;00407-2223-16;00407-2223-17;00407-2223-19;00407-2223-21;00407-2223-23;65219-0381-10;65219-0381-50;65219-0383-05;65219-0383-10;65219-0383-50;65219-0383-70
Iohexol Injection,Resolved Shortages,"Jun 20, 2023","Apr 29, 2022",00407-1401-52;00407-1411-10;00407-1412-10;00407-1412-20;00407-1412-30;00407-1412-33;00407-1413-10;00407-1413-59;00407-1413-61;00407-1413-63;00407-1413-65;00407-1413-72;00407-1414-72;00407-1414-89;00407-1414-90;00407-1414-91;00407-1414-93;00407-1414-94;00407-1415-09;00407-1416-12
Iopamidol Injection,Resolved Shortages,"Aug 05, 2024","Nov 20, 2018",00270-1314-15;00270-1314-30;00270-1315-25;00270-1315-30;00270-1315-35;00270-1315-41;00270-1315-45;00270-1315-47;00270-1315-95;00270-1315-98;00270-1316-04;00270-1316-30;00270-1316-35;00270-1316-37;00270-1316-41;00270-1316-45;00270-1316-52;00270-1316-95;00270-1316-98;00270-1317-02;00270-1317-05;00270-1317-09;00270-1317-41;00270-1411-11;00270-1411-25;00270-1412-15;70436-0124-52;70436-0124-82;70436-0126-82
Iopromide Injection,Resolved Shortages,"Aug 12, 2024","Jun 24, 2019",50419-0342-10;50419-0344-05;50419-0344-10;50419-0344-12;50419-0344-15;50419-0346-05;50419-0346-10;50419-0346-15;50419-0346-20
Iothalamate Meglumine 17.2%,Resolved Shortages,"May 17, 2016","Feb 03, 2016",00190-0862-07;00190-0862-09
Iothalamate Meglumine 17.2%,Current Shortages,"May 28, 2024","Nov 30, 2022",00019-0862-50
Iothalamate Meglumine Injection,Resolved Shortages,"May 28, 2024","Jan 02, 2020",00019-0953-05;00019-0953-23;00019-0953-50
Ioversol Injection,Resolved Shortages,"Sep 20, 2017","Oct 12, 2016",00019-1323-00;00019-1323-02;00019-1323-04;00019-1323-06;00019-1323-11;00019-1323-16;00019-1323-21;00019-1323-27;00019-1323-52;00019-1323-61;00019-1323-78;00019-1323-85;00019-1323-87;00019-1323-90;00019-1323-95;00019-1324-06;00019-1324-11;00019-1324-87;00019-1332-00;00019-1332-06;00019-1332-11;00019-1332-21;00019-1332-61;00019-1332-78;00019-1332-90;00019-1333-00;00019-1333-06;00019-1333-11;00019-1333-16;00019-1333-21;00019-1333-27;00019-1333-52;00019-1333-55;00019-1333-61;00019-1333-78;00019-1333-87;00019-1333-90;00019-1333-95
Ioversol Injection,Resolved Shortages,"Aug 12, 2024","May 19, 2021",00019-1323-00;00019-1323-02;00019-1323-04;00019-1323-06;00019-1323-11;00019-1323-16;00019-1323-21;00019-1323-27;00019-1323-52;00019-1323-61;00019-1323-65;00019-1323-78;00019-1323-85;00019-1323-87;00019-1323-90;00019-1323-95;00019-1332-00;00019-1332-06;00019-1332-11;00019-1332-21;00019-1332-61;00019-1332-90;00019-1333-00;00019-1333-06;00019-1333-11;00019-1333-16;00019-1333-21;00019-1333-27;00019-1333-52;00019-1333-55;00019-1333-61;00019-1333-78;00019-1333-87;00019-1333-90;00019-1333-95
Ipratropium Bromide Metered-Dose Inhaler,Resolved Shortages,"Jul 09, 2018","May 08, 2018",00597-0087-17
Irbesartan Tablets,Current Shortages,"Jun 24, 2025","Jul 19, 2019",00024-5850-90;00024-5851-30;00024-5852-30;00955-1040-90;00955-1041-90;00955-1042-90;31722-0162-05;31722-0729-30;31722-0729-90;31722-0730-30;31722-0730-90;31722-0731-30;31722-0731-90;33342-0047-07;33342-0047-10;33342-0048-07;33342-0048-10;33342-0049-07;33342-0049-10;43547-0374-03;43547-0374-09;43547-0375-03;43547-0375-09;43547-0376-03;43547-0376-09;59746-0449-30;59746-0449-90;62135-0976-30;62135-0976-90;62135-0977-30;62135-0977-90;62135-0978-30;62135-0978-90;62332-0041-30;62332-0041-90;62332-0042-30;62332-0042-90;62332-0043-30;62332-0043-90;68180-0410-06;68180-0410-09;68180-0411-06;68180-0411-09
Iron Dextran Injection,Resolved Shortages,"May 17, 2016","Jan 13, 2016",52544-0931-02
Iron Dextran Injection,Resolved Shortages,"Jul 17, 2019","Mar 28, 2018",00023-6082-10
Iron Dextran Injection,Resolved Shortages,"Aug 14, 2023","Apr 14, 2022",00023-6082-10
Iron Sucrose Injection,Resolved Shortages,"Feb 20, 2025","Mar 25, 2024",00517-2310-05;00517-2325-10;00517-2340-10;00517-2340-25
Isocarboxazid Tablets,Resolved Shortages,"Jan 10, 2020","Apr 11, 2018",30698-0032-01
Isoniazid Injection,Resolved Shortages,"Sep 29, 2023","May 18, 2023",00781-3056-70
Isoniazid Injection,Resolved Shortages,"Aug 15, 2024","Jan 24, 2024",00781-3056-70
Isoniazid Tablets,Resolved Shortages,"May 16, 2025","Sep 01, 2022",00555-0066-02;00555-0071-01;00555-0071-02;51079-0083-20;64950-0216-10;64950-0217-03;64950-0217-10
Isosorbide Dinitrate Extended-Release Capsules,Discontinued Drugs,"Jan 21, 2021","Jan 21, 2021",52244-0920-10
Isosorbide Dinitrate Extended-Release Tablets,Discontinued Drugs,"Sep 21, 2018","Jul 10, 2017",57664-600-88
Isosorbide Mononitrate Immediate-Release Tablets,Discontinued Drugs,"Dec 04, 2024","Apr 05, 2024",00228-2620-11;00228-2631-11
Isradipine Capsules,Resolved Shortages,"Dec 18, 2023","Feb 08, 2023",16252-0539-01;16252-0540-01;42806-0263-01;42806-0264-01
Ketamine Injection,Current Shortages,"Jun 26, 2025","Feb 07, 2018",00143-9508-10;00143-9509-10;00409-2051-05;00409-2053-10;25021-0682-20;25021-0683-10;25021-0684-05;42023-0113-10;42023-0114-10;42023-0115-10;55150-0438-10;55150-0439-10;55150-0440-10;7020-4088-7
Ketorolac Injection,Resolved Shortages,"Sep 03, 2024","Jul 10, 2015",00338-0069-10;00338-0072-25;00409-3793-01;00409-3795-01;00409-3796-01;63323-0161-01;63323-0162-01;63323-0162-02;68462-0755-25;68462-0756-25;68462-0757-25;70512-0842-25;70512-0843-25;70512-0844-25;72266-0118-25;72266-0119-25;72266-0234-25;72611-0722-25;76045-0105-20;76045-0107-10;76045-0209-10
Labetalol Injection,Resolved Shortages,"May 26, 2016","Jun 11, 2015",00409-2267-20;00409-2267-54;00409-2339-34;17478-0420-20;17478-0420-40;25021-0300-20;25021-0300-40
Labetalol Injection,Resolved Shortages,"Dec 09, 2020","Jan 27, 2017",00143-9622-01;00143-9623-01;00409-2267-20;00409-2267-54;00409-2339-34;17478-0420-20;17478-0420-40;47781-0586-29;47781-0586-56;72266-0102-01;72266-0103-01
Labetalol Injection,Current Shortages,"Jun 10, 2025","Jan 19, 2022",00143-9622-01;00143-9623-01;00409-0125-25;00409-2267-54;00409-2339-34;00641-6252-10;25021-0317-20;25021-0317-40;36000-0320-10;36000-0322-02;36000-0324-02;72266-0102-01;72266-0103-01
Labetalol Tablets,Resolved Shortages,"Jul 25, 2022","Mar 18, 2021",00185-0010-01;00185-0010-05;00185-0117-01;00185-0117-05;00185-0118-01;00185-0118-05;00591-0605-01;00591-0605-05;00591-0606-01;00591-0606-05;00591-0607-01;00904-7110-61;47781-0552-01;47781-0552-05;47781-0553-01;47781-0553-05;47781-0554-01;49884-0122-01;49884-0123-01;49884-0124-01;68382-0798-01;68382-0798-05;68382-0799-01;68382-0799-05;68382-0800-01;68382-0800-05
Lactated Ringer's Injection,Resolved Shortages,"Jul 26, 2016","Sep 17, 2015",00264-7750-00;00264-7750-10;00264-7750-20;00264-7751-00;00264-7751-50;00338-0117-02;00338-0117-03;00338-0117-04;00338-0125-03;00338-0125-04;00338-6307-03;00409-7929-03;00409-7929-09;00409-7953-02;00409-7953-03;00409-7953-09
Lactated Ringer's Injection,Resolved Shortages,"Jan 24, 2019","Nov 01, 2017",00264-7750-00;00264-7750-10;00264-7750-20;00264-7751-00;00264-7751-50;00338-0117-02;00338-0117-03;00338-0117-04;00338-0125-03;00338-0125-04;00409-7929-03;00409-7929-09;00409-7953-02;00409-7953-03;00409-7953-09
Lactated Ringer's Injection,Resolved Shortages,"Nov 16, 2023","Feb 23, 2022",00264-7750-00;00264-7750-10;00264-7750-20;00264-7751-00;00264-7751-50;00338-0117-02;00338-0117-03;00338-0117-04;00338-0125-03;00338-0125-04;00409-7929-03;00409-7929-09;00409-7953-02;00409-7953-03;00409-7953-09
Lactated Ringer's Injection,Resolved Shortages,"Aug 18, 2025","Oct 06, 2024",00264-7750-00;00264-7750-07;00264-7750-10;00264-7750-20;00264-7751-00;00264-7751-10;00338-0117-02;00338-0117-03;00338-0117-04;00338-0125-03;00338-0125-04;00409-7929-03;00409-7929-09;00409-7953-02;00409-7953-03;00409-7953-09
Lactated Ringer's Irrigation,Resolved Shortages,"Jan 25, 2023","Jun 16, 2015",00264-2202-00;00264-2203-00;00264-2203-50;00264-2203-70;00264-7389-60;00338-0114-04;00338-0137-27;00338-0137-29;00409-7828-08
Lactated Ringer's Irrigation,Resolved Shortages,"Jul 29, 2025","Oct 06, 2024",00264-2202-00;00264-2203-00;00264-2203-50;00264-2203-70;00264-7389-60;00338-0114-04;00338-0137-27;00338-0137-29;00409-7828-08
Lanreotide Acetate Injection,Current Shortages,"Aug 04, 2025","Oct 09, 2024",15054-1060-04;15054-1090-04;15054-1120-04;69097-0870-67;76282-0720-67
Lanthanum Carbonate Oral Presentations,Current Shortages,"Aug 18, 2025","Apr 02, 2025",00093-5938-98;00093-5939-98;00093-5940-98;54092-0252-90;54092-0253-90;54092-0254-90;54092-0256-02;54092-0257-02;68180-0819-42;68180-0820-46;68180-0821-47;69097-0934-98;69097-0935-98;69097-0936-98;76282-0476-90;76282-0477-90;76282-0478-90
Latanoprost Ophthalmic Solution,Resolved Shortages,"Jan 30, 2020","Jan 03, 2019",17478-0625-12;24208-0463-25;59762-0333-02;61314-0547-01;61314-0547-03;64980-0516-25
L-cysteine Hydrochloride Injection,Resolved Shortages,"Sep 08, 2016","Jun 25, 2015",00517-2050-05;00517-2064-25;00781-8940-95;66758-0004-02;66758-0005-02
Leflunomide Tablets,Resolved Shortages,"Nov 11, 2016","Sep 16, 2015",00088-2160-30;00088-2161-30;00955-1735-30;00955-1737-30;13811-0677-30;13811-0678-30;23155-0043-03;23155-0044-03;60505-2502-01;60505-2503-01
Lenalidomide Capsules,Current Shortages,"Aug 04, 2025","Jan 11, 2024",00378-1935-01;00378-1935-28;00378-1936-01;00378-1936-28;00378-1937-01;00378-1937-28;00378-1940-01;00378-1940-21;00378-1941-01;00378-1941-21;00378-1942-01;00378-1942-21;00480-1241-28;00480-1242-28;00480-1243-28;00480-1244-21;00480-1245-21;00480-1246-21;31722-0257-28;31722-0258-28;31722-0259-28;31722-0260-21;31722-0261-21;31722-0262-21;47811-0483-28;47811-0484-01;47811-0484-28;47811-0485-01;47811-0485-28;47811-0486-01;47811-0486-77;47811-0487-77;47811-0488-01;47811-0488-77;59572-0402-00;59572-0402-28;59572-0405-00;59572-0405-28;59572-0410-00;59572-0410-28;59572-0415-00;59572-0415-21;59572-0420-00;59572-0420-21;59572-0425-00;59572-0425-21;60505-4532-02;60505-4533-02;60505-4534-02;60505-4535-02;60505-4536-02;60505-4537-02;63304-0041-27;63304-0042-27;63304-0043-27;63304-0044-22;63304-0045-22;63304-0046-22;69097-0381-73;69097-0382-73;69097-0383-81;69097-0384-81;69097-0385-81;69097-0604-73
Letermovir Injection,Resolved Shortages,"Jan 17, 2020","Oct 30, 2018",00006-5003-01;00006-5004-01
Letermovir Tablets,Resolved Shortages,"Aug 24, 2019","Jun 13, 2019",00006-3075-02;00006-3075-04;00006-3076-02;00006-3076-04
Leucovorin Calcium Injection,Current Shortages,"Aug 12, 2025","Jun 02, 2015",00143-9552-01;00143-9553-01;00143-9554-01;00143-9555-01;25021-0813-10;25021-0814-30;25021-0815-30;25021-0816-30;25021-0828-50;63323-0631-10;63323-0631-50;63323-0710-50;63323-0711-00;67457-0528-10;67457-0529-20;67457-0530-35;70436-0116-82;70436-0117-80;70436-0118-80;70436-0119-80;70436-0120-80;71288-0160-10;71288-0161-20;71288-0162-30;71288-0163-30;71288-0164-50
Leuprolide Acetate 14-Day Kit,Resolved Shortages,"Jun 23, 2019","Jun 18, 2015",00781-4003-32;47335-0936-40
Leuprolide Acetate Long-Acting Suspension for Intramuscular Injection,Resolved Shortages,"Jan 03, 2020","Dec 05, 2019",00074-3346-03;00074-3473-03;00074-3641-03;00074-3642-03;00074-3663-03;00074-3683-03
Leuprolide Acetate Long-Acting Suspension for Intramuscular Injection,Resolved Shortages,"Aug 15, 2022","Jul 23, 2020",00074-2108-03;00074-2282-03;00074-2440-03;00074-3346-03;00074-3473-03;00074-3641-03;00074-3642-03;00074-3663-03;00074-3683-03;00074-3779-03;00074-9694-03
Levetiracetam Extended-Release Tablets,Resolved Shortages,"Jan 10, 2022","Aug 06, 2019",47335-0573-86;47335-0576-86;50474-0598-66;50474-0599-66;60505-3280-06;60505-3517-06;68180-0117-07;68180-0118-07
Levetiracetam Immediate-Release Tablets,Resolved Shortages,"Apr 15, 2022","Feb 15, 2019",00378-5613-05;00378-5613-78;00378-5615-05;00378-5615-78;00378-5617-05;00378-5617-78;00378-5619-91;00904-7123-61;00904-7124-61;00904-7125-61;13668-0014-12;13668-0015-12;13668-0016-12;13668-0017-60;16729-0064-29;16729-0067-12;31722-0536-05;31722-0536-12;31722-0537-05;31722-0537-12;31722-0538-05;31722-0538-12;31722-0539-60;50474-0594-40;50474-0595-40;50474-0597-40;50474-0597-66;51079-0820-20;51079-0821-20;51079-0822-20;51079-0860-06;68180-0112-02;68180-0112-09;68180-0112-16;68180-0113-02;68180-0113-09;68180-0113-16;68180-0114-02;68180-0114-09;68180-0115-02;68180-0115-07;69102-0102-01;69102-0103-01;69102-0104-01;71930-0062-15;71930-0063-15;71930-0063-52;71930-0064-15;71930-0065-60
Levetiracetam Injection,Resolved Shortages,"Sep 23, 2024","Jun 22, 2015",00143-9673-25;00264-1009-90;00264-1509-90;00264-9009-90;00409-1886-02;25021-0780-05;43598-0635-10;43598-0636-10;43598-0637-10;44567-0500-10;44567-0501-10;44567-0502-10;44567-0503-10;50474-0002-63;55150-0177-05;55150-0246-47;55150-0247-47;55150-0248-47;63323-0400-05;67457-0255-10;67457-0265-10;67457-0266-10;70860-0602-82;70860-0603-82;70860-0604-82;72485-0106-10;72485-0106-25
Levocarnitine Oral Tablets and Solution,Resolved Shortages,"Jul 10, 2017","Nov 01, 2016",50383-0171-04;50383-0172-90;54482-0144-07;54482-0145-08;54482-0148-01;64980-0503-12
Levofloxacin Injection in 5% Dextrose,Current Shortages,"Aug 18, 2025","May 29, 2024",00143-9720-24;00143-9721-24;00143-9722-24;00409-2220-24;00409-3330-24;00409-4444-24;25021-0132-81;25021-0132-82;25021-0132-83;36000-0046-24;36000-0047-24;36000-0048-24;44567-0435-24;44567-0436-24;44567-0437-24
Levofloxacin Oral Solution,Current Shortages,"Sep 15, 2023","Sep 14, 2023",00527-1948-66;00527-1948-68;00527-1948-70
Levoleucovorin Injection,Resolved Shortages,"Jul 19, 2024","May 24, 2022",00781-3201-94;50742-0494-17;50742-0495-25;70121-1099-01;70121-1572-01;70436-0209-80;71288-0104-10;71288-0105-18
Levonorgestrel Oral Tablets (Emergency Contraception),Resolved Shortages,"Aug 24, 2022","Jul 08, 2022",00113-2003-12;00536-1142-63;50102-0211-13;64122-0605-01;68180-0852-11;68180-0853-11;69536-0103-88;69536-0146-19;69536-0200-88;70700-0164-06
Levothyroxine Sodium Injection,Resolved Shortages,"Aug 06, 2019","Jan 03, 2019",42023-0201-01;42023-0202-01;42023-0203-01;63323-0647-01;63323-0648-10;63323-0649-07;66794-0647-02;66794-0648-02;66794-0649-02;70860-0451-10;70860-0452-10;70860-0453-10
Levothyroxine Sodium Injection,Resolved Shortages,"May 30, 2025","Feb 16, 2022",25021-0468-10;25021-0469-10;25021-0470-10;42023-0201-01;42023-0202-01;42023-0203-01;63323-0647-10;63323-0648-10;63323-0649-07;63323-0885-10;63323-0890-10;63323-0895-10
Lidocaine 5% Transdermal Patch,Current Shortages,"Jul 30, 2025","Nov 09, 2022",00378-9055-93;00591-3525-30;00603-1880-16;63481-0687-06;65162-0791-08;82347-0505-05
Lidocaine Hydrochloride and 5% Dextrose Injection,Resolved Shortages,"May 26, 2016","Sep 21, 2015",00264-9594-10;00264-9594-20;00264-9598-20;00338-0409-03;00338-0411-02;00409-7931-24;00409-7931-32;00409-7939-32
Lidocaine Hydrochloride and 5% Dextrose Injection,Resolved Shortages,"Sep 06, 2018","Jan 03, 2018",00264-9594-10;00264-9594-20;00264-9598-20;00338-0409-03;00338-0411-02
Lidocaine Hydrochloride Oral Topical Solution (Viscous) 2%,Resolved Shortages,"May 26, 2016","Jun 18, 2015",00054-3500-49;50383-0775-04;50383-0775-17
Lidocaine Hydrochloride Oral Topical Solution (Viscous) 2%,Resolved Shortages,"Sep 06, 2017","Feb 07, 2017",00054-3500-49;50383-0775-04;50383-0775-17
Lidocaine Hydrochloride Oral Topical Solution (Viscous) 2%,Current Shortages,"Jul 18, 2025","Apr 12, 2023",00054-3500-49;50383-0775-04;50383-0775-17;62135-0712-42;62135-0871-24;64679-0464-00
Lidocaine Injection,Current Shortages,"Aug 18, 2025","Jun 23, 2015",00143-9575-10;00143-9577-10;00143-9594-25;00143-9595-25;00409-1323-05;00409-2066-05;00409-4275-01;00409-4276-01;00409-4276-02;00409-4277-01;00409-4277-02;00409-4278-01;00409-4279-02;00409-4282-01;00409-4282-02;00409-4283-01;00409-4713-02;00409-4713-32;00409-4776-01;00409-4903-34;00409-4904-34;00409-9137-05;50102-0400-10;55150-0158-72;55150-0159-74;55150-0160-72;55150-0161-02;55150-0162-05;55150-0163-30;55150-0164-02;55150-0165-05;55150-0251-10;55150-0252-20;55150-0253-50;55150-0254-10;55150-0255-20;55150-0256-50;63323-0201-02;63323-0201-10;63323-0202-02;63323-0208-05;63323-0484-57;63323-0485-27;63323-0485-57;63323-0486-17;63323-0486-27;63323-0486-57;63323-0491-57;63323-0492-27;63323-0492-37;63323-0492-57;63323-0492-97;63323-0493-91;63323-0493-97;63323-0495-07;63323-0495-27;63323-0496-97;76329-3390-01
Lidocaine Topical 4% Solution,Resolved Shortages,"May 26, 2016","Jun 01, 2015",00409-4698-01;76329-6300-05
Lidocaine Topical 4% Solution,Resolved Shortages,"Oct 08, 2017","Feb 07, 2017",00054-3505-47;52565-0009-50;76329-6300-05
Lidocaine with Epinephrine Injection,Current Shortages,"Aug 15, 2025","Jun 25, 2015",00409-0007-10;00409-0147-10;00409-1209-01;00409-3177-01;00409-3178-02;00409-3178-03;00409-3181-01;00409-3182-02;00409-3182-03;00409-3183-01;63323-0481-57;63323-0482-17;63323-0482-27;63323-0482-57;63323-0483-27;63323-0483-57;63323-0487-17;63323-0487-31;63323-0487-37;63323-0488-17;63323-0488-37;63323-0489-17;63323-0489-27
Lindane 1% Shampoo,No Commercially Available Preparations,"Feb 01, 2023","Feb 01, 2023",60432-0834-60
Linezolid Injection,Current Shortages,"Jul 31, 2025","Oct 16, 2024",00009-5137-04;00009-5140-04;00143-9534-10;00409-4883-01;00409-4883-10;00781-3433-95;55150-0242-51;57664-0683-57;63323-0713-13;66794-0219-43
Liotrix (Levothyroxine/Liothyronine T4/T3),Discontinued Drugs,"Feb 11, 2019","Jul 28, 2015",00456-0040-01;00456-0045-01;00456-0050-01;00456-0055-01;00456-0060-01
Liraglutide Injection,Current Shortages,"Aug 15, 2025","Jul 20, 2023",00169-2800-15;00169-4060-12;00169-4060-13;00480-3667-20;00480-3667-22;71288-0563-84;71288-0563-85
Lisdexamfetamine Dimesylate Capsules,Current Shortages,"Jul 21, 2025","Jun 19, 2023",00054-0370-25;00054-0371-25;00054-0372-25;00054-0373-25;00054-0374-25;00054-0375-25;00378-6854-77;00378-6855-77;00378-6856-77;00378-6857-77;00378-6858-77;00378-6859-77;00378-6860-77;00406-5111-01;00406-5112-01;00406-5113-01;00406-5114-01;00406-5115-01;00406-5116-01;00406-5117-01;00480-3564-01;00480-3565-01;00480-3566-01;00480-3567-01;00480-3568-01;00480-3569-01;00480-3570-01;00527-4661-37;00527-4662-37;00527-4663-37;00527-4664-37;00527-4665-37;00527-4666-37;00527-4667-37;42858-0161-01;42858-0162-01;42858-0163-01;42858-0164-01;42858-0165-01;42858-0166-01;42858-0167-01;43547-0602-10;43547-0603-10;43547-0604-10;43547-0605-10;43547-0606-10;43547-0607-10;43547-0608-10;47781-0562-01;47781-0563-01;47781-0564-01;47781-0565-01;47781-0566-01;47781-0567-01;47781-0568-01;57664-0046-88;57664-0047-88;57664-0048-88;57664-0049-88;57664-0050-88;57664-0051-88;57664-0052-88;59417-0101-10;59417-0102-10;59417-0103-10;59417-0104-10;59417-0105-10;59417-0106-10;59417-0107-10;60505-4739-01;60505-4740-01;60505-4741-01;60505-4742-01;60505-4743-01;60505-4744-01;60505-4745-01;65162-0023-09;65162-0024-09;65162-0025-09;65162-0026-09;65162-0027-09;65162-0028-09
Lisinopril Tablets,Resolved Shortages,"Aug 25, 2023","Jun 29, 2020",00904-6797-61;00904-6798-61;00904-6799-61;00904-7200-61;68180-0512-01;68180-0512-02;68180-0512-09;68180-0513-01;68180-0513-03;68180-0513-09;68180-0514-09;68180-0515-09;68180-0516-09;68180-0517-01;68180-0517-03;68180-0517-09;68180-0980-01;68180-0980-03;68180-0980-30;68180-0981-01;68180-0981-03;68180-0982-01;68180-0982-02;76282-0417-01;76282-0417-05;76282-0418-01;76282-0418-10;76282-0418-45;76282-0418-90;76282-0419-01;76282-0419-10;76282-0419-45;76282-0419-90;76282-0420-01;76282-0420-10;76282-0420-18;76282-0420-45;76282-0420-50;76282-0420-90;76282-0421-01;76282-0421-05;76282-0422-01;76282-0422-10;76282-0422-18;76282-0422-45;76282-0422-90
Lithium Oral Solution,Resolved Shortages,"Mar 14, 2025","Apr 27, 2020",71656-0072-16;71656-0072-50;72888-0172-46
Lorazepam Injection,Current Shortages,"Aug 12, 2025","Jun 23, 2015",00409-1985-30;00641-6000-10;00641-6001-25;00641-6002-10;00641-6003-25;00641-6044-25;00641-6045-25;00641-6046-10;00641-6047-10;65219-0368-02;76329-8261-01
Lorazepam Oral Solution,Resolved Shortages,"Sep 26, 2018","Jan 31, 2018",00054-3532-44;50383-0705-30;65162-0687-84
Lorazepam Tablets,Current Shortages,"Aug 14, 2025","Oct 04, 2018",00093-3425-01;00093-3425-05;00093-3425-10;00093-3426-01;00093-3426-05;00093-3426-10;00093-3427-01;00093-3427-05;00093-3427-10;00187-0063-01;00187-0064-01;00187-0064-10;00187-0065-01;00904-6007-60;00904-6007-61;00904-6008-60;00904-6008-61;00904-6009-60;00904-6009-61;62135-0861-01;62135-0862-01;62135-0863-01;69315-0904-01;69315-0904-05;69315-0904-10;69315-0905-01;69315-0905-05;69315-0905-10;69315-0906-01;69315-0906-05;69315-0906-10
Losartan and Hydrochlorothiazide Tablets,Current Shortages,"Jun 27, 2025","Feb 11, 2019",00093-7367-10;00093-7367-56;00093-7367-98;00093-7368-10;00093-7368-56;00093-7368-98;00093-7369-10;00093-7369-56;00093-7369-98;00781-5204-10;00781-5204-31;00781-5204-92;00781-5206-10;00781-5206-31;00781-5206-92;00781-5207-10;00781-5207-31;00781-5207-92;13668-0116-10;13668-0116-30;13668-0116-90;13668-0117-10;13668-0117-30;13668-0117-90;13668-0118-10;13668-0118-30;13668-0118-90;57237-0207-90;57237-0207-99;57237-0208-90;57237-0208-99;57237-0209-99;59746-0337-30;59746-0337-90;59746-0338-30;59746-0338-90;59746-0339-30;59746-0339-90;62332-0048-90;62332-0049-90;62332-0050-90;68180-0215-06;68180-0215-09;68180-0216-06;68180-0216-09;68180-0217-06;68180-0217-09;78206-0139-01;78206-0139-02;78206-0140-01;78206-0140-02;78206-0141-01;78206-0141-02
Losartan Tablets,Resolved Shortages,"Sep 08, 2022","Jun 07, 2019",00904-7047-61;00904-7048-61;00904-7049-61;31722-0700-10;31722-0700-90;31722-0701-10;31722-0701-30;31722-0701-90;31722-0702-10;31722-0702-30;31722-0702-90;62332-0027-30;62332-0027-90;62332-0027-91;62332-0028-30;62332-0028-90;62332-0028-91;62332-0029-30;62332-0029-90;62332-0029-91;68180-0376-03;68180-0376-09;68180-0377-03;68180-0377-09;68180-0378-03;68180-0378-09;68382-0135-06;68382-0135-10;68382-0135-16;68382-0136-06;68382-0136-10;68382-0136-16;68382-0137-06;68382-0137-10;68382-0137-16;78206-0121-01;78206-0122-01;78206-0122-02;78206-0123-01;78206-0123-02
Loxapine Tablets,Resolved Shortages,"Jun 15, 2022","Sep 12, 2019",00378-7005-01;00378-7010-01;00378-7025-01;00378-7050-01;00527-1394-01;00527-1395-01;00527-1396-01;00527-1397-01;00591-0369-01;00591-0370-01;00591-0371-01;00591-0372-01;10135-0585-01;10135-0586-01;10135-0587-01;10135-0588-01
